time,emitter_id,emitter_type,band,active,prev_active
38,E1,periodic,1,0,1.0
38,E2,burst,2,0,0.0
38,E3,hopper,8,1,0.0
39,E1,periodic,1,0,1.0
39,E2,burst,2,0,0.0
39,E3,hopper,3,1,0.0
40,E1,periodic,1,1,1.0
40,E2,burst,2,0,1.0
40,E3,hopper,5,1,0.0
41,E1,periodic,1,0,1.0
41,E2,burst,2,0,0.0
41,E3,hopper,8,1,0.0
42,E1,periodic,1,0,1.0
42,E2,burst,2,0,0.0
42,E3,hopper,3,1,0.0
43,E1,periodic,1,0,1.0
43,E2,burst,2,0,0.0
43,E3,hopper,5,1,0.0
44,E1,periodic,1,0,1.0
44,E2,burst,2,0,0.0
44,E3,hopper,8,1,0.0
45,E1,periodic,1,1,1.0
45,E2,burst,2,0,1.0
45,E3,hopper,3,1,0.0
46,E1,periodic,1,0,1.0
46,E2,burst,2,0,0.0
46,E3,hopper,5,1,0.0
47,E1,periodic,1,0,1.0
47,E2,burst,2,0,0.0
47,E3,hopper,8,1,0.0
48,E1,periodic,1,0,1.0
48,E2,burst,2,0,0.0
48,E3,hopper,3,1,0.0
49,E1,periodic,1,0,1.0
49,E2,burst,2,0,0.0
49,E3,hopper,5,1,0.0
50,E1,periodic,1,1,1.0
50,E2,burst,2,0,1.0
50,E3,hopper,8,1,0.0
51,E1,periodic,1,0,1.0
51,E2,burst,2,0,0.0
51,E3,hopper,3,1,0.0
52,E1,periodic,1,0,1.0
52,E2,burst,2,0,0.0
52,E3,hopper,5,1,0.0
53,E1,periodic,1,0,1.0
53,E2,burst,2,0,0.0
53,E3,hopper,8,1,0.0
54,E1,periodic,1,0,1.0
54,E2,burst,2,0,0.0
54,E3,hopper,3,1,0.0
55,E1,periodic,1,1,1.0
55,E2,burst,2,0,1.0
55,E3,hopper,5,1,0.0
56,E1,periodic,1,0,1.0
56,E2,burst,2,0,0.0
56,E3,hopper,8,1,0.0
57,E1,periodic,1,0,1.0
57,E2,burst,2,0,0.0
57,E3,hopper,3,1,0.0
58,E1,periodic,1,0,1.0
58,E2,burst,2,0,0.0
58,E3,hopper,5,1,0.0
59,E1,periodic,1,0,1.0
59,E2,burst,2,0,0.0
59,E3,hopper,8,1,0.0
60,E1,periodic,1,1,1.0
60,E2,burst,2,1,1.0
60,E3,hopper,3,1,1.0
61,E1,periodic,1,0,1.0
61,E2,burst,2,1,0.0
61,E3,hopper,5,1,1.0
62,E1,periodic,1,0,1.0
62,E2,burst,2,1,0.0
62,E3,hopper,8,1,1.0
63,E1,periodic,1,0,1.0
63,E2,burst,2,1,0.0
63,E3,hopper,3,1,1.0
64,E1,periodic,1,0,1.0
64,E2,burst,2,1,0.0
64,E3,hopper,5,1,1.0
65,E1,periodic,1,1,1.0
65,E2,burst,2,1,1.0
65,E3,hopper,8,1,1.0
66,E1,periodic,1,0,1.0
66,E2,burst,2,1,0.0
66,E3,hopper,3,1,1.0
67,E1,periodic,1,0,1.0
67,E2,burst,2,1,0.0
67,E3,hopper,5,1,1.0
68,E1,periodic,1,0,1.0
68,E2,burst,2,1,0.0
68,E3,hopper,8,1,1.0
69,E1,periodic,1,0,1.0
69,E2,burst,2,1,0.0
69,E3,hopper,3,1,1.0
70,E1,periodic,1,1,1.0
70,E2,burst,2,1,1.0
70,E3,hopper,5,1,1.0
71,E1,periodic,1,0,1.0
71,E2,burst,2,0,0.0
71,E3,hopper,8,1,0.0
72,E1,periodic,1,0,1.0
72,E2,burst,2,0,0.0
72,E3,hopper,3,1,0.0
73,E1,periodic,1,0,1.0
73,E2,burst,2,0,0.0
73,E3,hopper,5,1,0.0
74,E1,periodic,1,0,1.0
74,E2,burst,2,0,0.0
74,E3,hopper,8,1,0.0
75,E1,periodic,1,1,1.0
75,E2,burst,2,0,1.0
75,E3,hopper,3,1,0.0
76,E1,periodic,1,0,1.0
76,E2,burst,2,0,0.0
76,E3,hopper,5,1,0.0
77,E1,periodic,1,0,1.0
77,E2,burst,2,0,0.0
77,E3,hopper,8,1,0.0
78,E1,periodic,1,0,1.0
78,E2,burst,2,0,0.0
78,E3,hopper,3,1,0.0
79,E1,periodic,1,0,1.0
79,E2,burst,2,0,0.0
79,E3,hopper,5,1,0.0
80,E1,periodic,1,1,1.0
80,E2,burst,2,0,1.0
80,E3,hopper,8,1,0.0
81,E1,periodic,1,0,1.0
81,E2,burst,2,0,0.0
81,E3,hopper,3,1,0.0
82,E1,periodic,1,0,1.0
82,E2,burst,2,0,0.0
82,E3,hopper,5,1,0.0
83,E1,periodic,1,0,1.0
83,E2,burst,2,0,0.0
83,E3,hopper,8,1,0.0
84,E1,periodic,1,0,1.0
84,E2,burst,2,0,0.0
84,E3,hopper,3,1,0.0
85,E1,periodic,1,1,1.0
85,E2,burst,2,0,1.0
85,E3,hopper,5,1,0.0
86,E1,periodic,1,0,1.0
86,E2,burst,2,0,0.0
86,E3,hopper,8,1,0.0
87,E1,periodic,1,0,1.0
87,E2,burst,2,0,0.0
87,E3,hopper,3,1,0.0
88,E1,periodic,1,0,1.0
88,E2,burst,2,0,0.0
88,E3,hopper,5,1,0.0
89,E1,periodic,1,0,1.0
89,E2,burst,2,0,0.0
89,E3,hopper,8,1,0.0
90,E1,periodic,1,1,1.0
90,E2,burst,2,0,1.0
90,E3,hopper,3,1,0.0
91,E1,periodic,1,0,1.0
91,E2,burst,2,0,0.0
91,E3,hopper,5,1,0.0
92,E1,periodic,1,0,1.0
92,E2,burst,2,0,0.0
92,E3,hopper,8,1,0.0
93,E1,periodic,1,0,1.0
93,E2,burst,2,0,0.0
93,E3,hopper,3,1,0.0
94,E1,periodic,1,0,1.0
94,E2,burst,2,0,0.0
94,E3,hopper,5,1,0.0
95,E1,periodic,1,1,1.0
95,E2,burst,2,0,1.0
95,E3,hopper,8,1,0.0
96,E1,periodic,1,0,1.0
96,E2,burst,2,0,0.0
96,E3,hopper,3,1,0.0
97,E1,periodic,1,0,1.0
97,E2,burst,2,0,0.0
97,E3,hopper,5,1,0.0
98,E1,periodic,1,0,1.0
98,E2,burst,2,0,0.0
98,E3,hopper,8,1,0.0
99,E1,periodic,1,0,1.0
99,E2,burst,2,0,0.0
99,E3,hopper,3,1,0.0
100,E1,periodic,1,1,1.0
100,E2,burst,2,0,1.0
100,E3,hopper,5,1,0.0
